[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- ----swap---
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| used  free
12-10 13:16:46| 16   2  81   1   0   0|9223k  175k|1111M 21.6M 26.1G 4212M|  20M   93G
12-10 13:16:47|  0   0 100   0   0   0|   0     0 |1111M 21.6M 26.1G 4212M|  20M   93G
12-10 13:16:48|  1   1  99   0   0   0|   0     0 |1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:49|  1   0  99   0   0   0|   0    56k|1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:50|  1   0  99   0   0   0|   0     0 |1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:51|  1   0 100   0   0   0|   0     0 |1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:52|  0   0  99   1   0   0|   0    48k|1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:53|  0   0 100   0   0   0|   0     0 |1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:54|  0   0 100   0   0   0|   0     0 |1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:55|  0   0 100   0   0   0|   0    12k|1111M 21.6M 26.1G 4211M|  20M   93G
12-10 13:16:56| 16   1  83   0   0   0|   0  4096B|1227M 21.6M 26.1G 4097M|  20M   93G
12-10 13:16:57| 71   3  26   0   0   0|   0     0 |1598M 21.6M 26.1G 3726M|  20M   93G
12-10 13:16:58| 45   3  51   1   0   0|   0    92k|1894M 21.6M 26.1G 3429M|  20M   93G
12-10 13:16:59| 28   3  70   0   0   0|   0     0 |2241M 21.6M 26.1G 3082M|  20M   93G
12-10 13:17:00| 26   2  72   0   0   0|   0     0 |2640M 21.6M 26.1G 2683M|  20M   93G
12-10 13:17:01| 22   5  73   0   0   0|   0     0 |3245M 21.6M 26.2G 2078M|  20M   93G
12-10 13:17:02| 26   1  71   2   0   0| 264k    0 |3247M 21.6M 26.2G 2076M|  20M   93G
12-10 13:17:03| 28   1  70   0   0   0|   0    44k|3259M 21.6M 26.2G 2063M|  20M   93G
12-10 13:17:04| 21   5  74   0   0   0|   0     0 |3753M 21.6M 26.2G 1568M|  20M   93G
12-10 13:17:05| 27   2  71   0   0   0|   0  8192B|3901M 21.6M 26.2G 1420M|  20M   93G
12-10 13:17:06| 25   1  74   0   0   0|   0     0 |3901M 21.6M 26.2G 1419M|  20M   93G
12-10 13:17:07| 28   1  72   0   0   0|   0     0 |3908M 21.6M 26.2G 1412M|  20M   93G
12-10 13:17:08| 27   1  71   0   0   0|   0    16k|3918M 21.6M 26.2G 1402M|  20M   93G
12-10 13:17:09| 24   1  75   0   0   0|   0     0 |3918M 21.6M 26.2G 1401M|  20M   93G
12-10 13:17:10| 28   1  72   0   0   0|   0     0 |3926M 21.6M 26.2G 1392M|  20M   93G
12-10 13:17:11| 25   1  75   0   0   0|   0     0 |3926M 21.6M 26.2G 1392M|  20M   93G
12-10 13:17:12| 46   1  53   1   0   0|4096B    0 |3937M 21.6M 26.2G 1381M|  20M   93G
12-10 13:17:13| 41   2  56   1   0   0|   0    16k|3937M 21.6M 26.2G 1380M|  20M   93G
12-10 13:17:14| 27   1  72   0   0   0|   0     0 |3946M 21.6M 26.2G 1371M|  20M   93G
12-10 13:17:15| 24   1  75   0   0   0|   0     0 |3946M 21.6M 26.2G 1370M|  20M   93G
12-10 13:17:16| 40   2  58   0   0   0|   0     0 |3956M 21.6M 26.2G 1360M|  20M   93G
12-10 13:17:17| 50   1  50   0   0   0|   0     0 |3956M 21.6M 26.2G 1359M|  20M   93G
12-10 13:17:18| 45   2  53   0   0   0|   0    16k|3980M 21.6M 26.2G 1335M|  20M   93G
12-10 13:17:19| 25   1  74   0   0   0|   0     0 |3981M 21.6M 26.2G 1334M|  20M   93G
12-10 13:17:20| 25   2  73   0   0   0|   0  4096B|3987M 21.6M 26.2G 1326M|  20M   93G
12-10 13:17:21| 30   1  69   0   0   0|   0     0 |3993M 21.6M 26.2G 1319M|  20M   93G
12-10 13:17:22| 25   1  75   0   0   0|   0     0 |3993M 21.6M 26.2G 1317M|  20M   93G
12-10 13:17:23| 30   1  68   1   0   0|   0    24k|4011M 21.6M 26.2G 1297M|  20M   93G
12-10 13:17:24| 24   2  75   0   0   0|   0     0 |4012M 21.6M 26.2G 1297M|  20M   93G
12-10 13:17:25| 29   1  70   0   0   0|   0   108k|4031M 21.6M 26.2G 1277M|  20M   93G
12-10 13:17:26| 25   1  75   0   0   0|   0     0 |4031M 21.6M 26.2G 1277M|  20M   93G
12-10 13:17:27| 27   1  72   0   0   0|   0     0 |4041M 21.6M 26.2G 1267M|  20M   93G
