:START_ID(Lexicon-ID) lang :END_ID(Node-ID)
0 fr 1
1 fr 8
2 fr 23
3 fr 24
4 fr 31
5 fr 33
6 fr 42
7 fr 45
8 fr 51
9 fr 55
10 fr 58
11 fr 62
12 fr 68
13 fr 75
14 fr 83
15 fr 99
16 fr 100
17 fr 103
18 fr 125
19 fr 129
20 fr 136
21 fr 140
22 fr 144
23 fr 148
24 fr 155
25 fr 156
26 fr 163
27 fr 166
28 fr 177
29 fr 178
30 fr 183
31 fr 197
32 fr 202
33 fr 207
34 fr 210
35 fr 216
36 fr 217
37 fr 218
38 fr 220
39 fr 228
40 fr 233
41 fr 244
42 fr 257
43 fr 277
44 fr 278
45 fr 281
46 fr 284
47 fr 286
48 fr 288
49 fr 291
50 fr 293
51 fr 297
52 fr 298
53 fr 317
54 fr 323
55 fr 326
56 fr 327
57 fr 328
58 fr 332
59 fr 349
60 fr 359
61 fr 362
62 fr 367
63 fr 368
64 fr 369
65 fr 371
66 fr 377
67 fr 391
68 fr 394
69 fr 398
70 fr 403
71 fr 411
72 fr 412
73 fr 414
74 fr 419
75 fr 424
76 fr 429
77 fr 431
78 fr 433
79 fr 436
80 fr 443
81 fr 447
82 fr 454
83 fr 463
84 fr 465
85 fr 475
86 fr 481
87 fr 495
88 fr 497
89 fr 500
90 fr 501
91 fr 506
92 fr 511
93 fr 514
94 fr 524
95 fr 530
96 fr 538
97 fr 544
98 fr 545
99 fr 550
100 fr 555
101 fr 556
102 fr 565
103 fr 570
104 fr 571
105 fr 584
106 fr 585
107 fr 586
108 fr 587
109 fr 592
110 fr 595
111 fr 597
112 fr 604
113 fr 606
114 fr 610
115 fr 616
116 fr 619
117 fr 633
118 fr 634
119 fr 635
120 fr 643
121 fr 647
122 fr 648
123 fr 656
124 fr 659
125 fr 661
126 fr 666
127 fr 676
128 fr 683
129 fr 684
130 fr 685
131 fr 686
132 fr 688
133 fr 694
134 fr 700
135 fr 701
136 fr 716
137 fr 722
138 fr 723
139 fr 726
140 fr 732
141 fr 735
142 fr 737
143 fr 744
144 fr 746
145 fr 747
146 fr 749
147 fr 751
148 fr 757
149 fr 763
150 fr 764
151 fr 770
152 fr 771
153 fr 772
154 fr 776
155 fr 777
156 fr 795
157 fr 801
158 fr 807
159 fr 815
160 fr 816
161 fr 819
162 fr 826
163 fr 844
164 fr 847
165 fr 849
166 fr 853
167 fr 856
168 fr 859
169 fr 861
170 fr 863
171 fr 866
172 fr 869
173 fr 870
174 fr 873
175 fr 876
176 fr 878
177 fr 880
178 fr 883
179 fr 887
180 fr 891
181 fr 894
182 fr 895
183 fr 898
184 fr 899
185 fr 901
186 fr 903
187 fr 905
188 fr 907
189 fr 909
190 fr 910
191 fr 912
192 fr 916
193 fr 917
194 fr 920
195 fr 922
196 fr 926
197 fr 937
198 fr 943
199 fr 946
200 fr 951
201 fr 952
202 fr 957
203 fr 968
204 fr 969
205 fr 973
206 fr 977
207 fr 978
208 fr 982
209 fr 990
210 fr 997
211 fr 1009
212 fr 1014
213 fr 1015
214 fr 1025
215 fr 1026
216 fr 1029
217 fr 1044
218 fr 1045
219 fr 1049
220 fr 1052
221 fr 1056
222 fr 1057
223 fr 1058
224 fr 1066
225 fr 1071
226 fr 1083
227 fr 1088
228 fr 1092
229 fr 1093
230 fr 1098
231 fr 1099
232 fr 1100
233 fr 1107
234 fr 1108
235 fr 1115
236 fr 1121
237 fr 1124
238 fr 1136
239 fr 1146
240 fr 1149
241 fr 1151
242 fr 1152
243 fr 1156
244 fr 1161
245 fr 1171
246 fr 1173
247 fr 1183
248 fr 1193
249 fr 1201
250 fr 1204
251 fr 1213
252 fr 1216
253 fr 1224
254 fr 1228
255 fr 1229
256 fr 1232
257 fr 1235
258 fr 1247
259 fr 1251
260 fr 1253
261 fr 1254
262 fr 1256
263 fr 1257
264 fr 1258
265 fr 1267
266 fr 1269
267 fr 1270
268 fr 1276
269 fr 1277
270 fr 1281
271 fr 1283
272 fr 1284
273 fr 1293
274 fr 1297
275 fr 1301
276 fr 1317
277 fr 1319
278 fr 1320
279 fr 1325
280 fr 1330
281 fr 1339
282 fr 1341
283 fr 1348
284 fr 1358
285 fr 1359
286 fr 1363
287 fr 1372
288 fr 1374
289 fr 1375
290 fr 1376
291 fr 1381
292 fr 1396
293 fr 1397
294 fr 1398
295 fr 1404
296 fr 1405
297 fr 1416
298 fr 1421
299 fr 1427
300 fr 1431
301 fr 1446
302 fr 1448
303 fr 1452
304 fr 1455
305 fr 1459
306 fr 1463
307 fr 1464
308 fr 1468
309 fr 1469
310 fr 1471
311 fr 1477
312 fr 1486
313 fr 1488
314 fr 1489
315 fr 1490
316 fr 1494
317 fr 1499
318 fr 1500
319 fr 1503
320 fr 1504
321 fr 1506
322 fr 1511
323 fr 1513
324 fr 1520
325 fr 1521
326 fr 1522
327 fr 1525
328 fr 1526
329 fr 1528
330 fr 1530
331 fr 1533
332 fr 1537
333 fr 1547
334 fr 1555
335 fr 1569
336 fr 1574
337 fr 1599
338 fr 1623
339 fr 1624
340 fr 1627
341 fr 1636
342 fr 1638
343 fr 1644
344 fr 1646
345 fr 1649
346 fr 1672
347 fr 1673
348 fr 1681
349 fr 1688
350 fr 1691
351 fr 1693
352 fr 1706
353 fr 1707
354 fr 1709
355 fr 1710
356 fr 1711
357 fr 1712
358 fr 1718
359 fr 1719
360 fr 1721
361 fr 1724
362 fr 1738
363 fr 1746
364 fr 1747
365 fr 1748
366 fr 1749
367 fr 1753
368 fr 1755
369 fr 1757
370 fr 1759
371 fr 1764
372 fr 1789
373 fr 1795
374 fr 1802
375 fr 1804
376 fr 1812
377 fr 1817
378 fr 1826
379 fr 1832
380 fr 1834
381 fr 1835
382 fr 1839
383 fr 1842
384 fr 1851
385 fr 1859
386 fr 1860
387 fr 1866
388 fr 1868
389 fr 1871
390 fr 1885
391 fr 1890
392 fr 1896
393 fr 1901
394 fr 1911
395 fr 1914
396 fr 1918
397 fr 1925
398 fr 1928
399 fr 1934
400 fr 1936
401 fr 1938
402 fr 1939
403 fr 1940
404 fr 1946
405 fr 1948
406 fr 1956
407 fr 1962
408 fr 1971
409 fr 1972
410 fr 1976
411 fr 1977
412 fr 1987
413 fr 1990
414 fr 1996
415 fr 2003
416 fr 2006
417 fr 2008
418 fr 2009
419 fr 2011
420 fr 2013
421 fr 2016
422 fr 2017
423 fr 2019
424 fr 2025
425 fr 2026
426 fr 2029
427 fr 2032
428 fr 2036
429 fr 2041
430 fr 2048
431 fr 2049
432 fr 2052
433 fr 2057
434 fr 2059
435 fr 2060
436 fr 2062
437 fr 2063
438 fr 2065
439 fr 2070
440 fr 2073
441 fr 2074
442 fr 2077
443 fr 2079
444 fr 2080
445 fr 2081
446 fr 2091
447 fr 2096
448 fr 2100
449 fr 2104
450 fr 2105
451 fr 2109
452 fr 2110
453 fr 2114
454 fr 2119
455 fr 2125
456 fr 2129
457 fr 2131
458 fr 2132
459 fr 2134
460 fr 2137
461 fr 2142
462 fr 2149
463 fr 2151
464 fr 2153
465 fr 2154
466 fr 2165
467 fr 2173
468 fr 2174
469 fr 2175
470 fr 2185
471 fr 2190
472 fr 2191
473 fr 2192
474 fr 2205
475 fr 2207
476 fr 2214
477 fr 2217
478 fr 2220
479 fr 2222
480 fr 2229
481 fr 2230
482 fr 2232
483 fr 2236
484 fr 2238
485 fr 2241
486 fr 2243
487 fr 2255
488 fr 2260
489 fr 2261
490 fr 2264
491 fr 2271
492 fr 2272
493 fr 2273
494 fr 2276
495 fr 2281
496 fr 2282
497 fr 2293
498 fr 2294
499 fr 2300
500 fr 2301
501 fr 2311
502 fr 2319
503 fr 2334
504 fr 2335
505 fr 2336
506 fr 2345
507 fr 2362
508 fr 2369
509 fr 2370
510 fr 2392
511 fr 2396
512 fr 2397
513 fr 2423
514 fr 2424
515 fr 2426
516 fr 2435
517 fr 2437
518 fr 2453
519 fr 2470
520 fr 2471
521 fr 2474
522 fr 2475
523 fr 2477
524 fr 2478
525 fr 2487
526 fr 2491
527 fr 2492
528 fr 2494
529 fr 2496
530 fr 2498
531 fr 2499
532 fr 2508
533 fr 2515
534 fr 2518
535 fr 2534
536 fr 2538
537 fr 2545
538 fr 2546
539 fr 2552
540 fr 2560
541 fr 2562
542 fr 2567
543 fr 2573
544 fr 2574
545 fr 2580
546 fr 2595
547 fr 2596
548 fr 2598
549 fr 2610
550 fr 2613
551 fr 2622
552 fr 2631
553 fr 2633
554 fr 2635
555 fr 2636
556 fr 2640
557 fr 2641
558 fr 2644
559 fr 2649
560 fr 2650
561 fr 2651
562 fr 2656
563 fr 2662
564 fr 2667
565 fr 2668
566 fr 2674
567 fr 2677
568 fr 2682
569 fr 2683
570 fr 2684
571 fr 2686
572 fr 2691
573 fr 2695
574 fr 2700
575 fr 2703
576 fr 2711
577 fr 2714
578 fr 2715
579 fr 2719
580 fr 2720
581 fr 2721
582 fr 2726
583 fr 2727
584 fr 2740
585 fr 2751
586 fr 2756
587 fr 2765
588 fr 2773
589 fr 2774
590 fr 2780
591 fr 2784
592 fr 2789
593 fr 2793
594 fr 2800
595 fr 2801
596 fr 2802
597 fr 2805
598 fr 2809
599 fr 2810
600 fr 2818
601 fr 2820
602 fr 2821
603 fr 2830
604 fr 2842
605 fr 2848
606 fr 2852
607 fr 2853
608 fr 2857
609 fr 2859
610 fr 2860
611 fr 2866
612 fr 2876
613 fr 2882
614 fr 2883
615 fr 2884
616 fr 2886
617 fr 2889
618 fr 2901
619 fr 2902
620 fr 2903
621 fr 2912
622 fr 2914
623 fr 2927
624 fr 2928
625 fr 2930
626 fr 2933
627 fr 2934
628 fr 2935
629 fr 2938
630 fr 2943
631 fr 2947
632 fr 2948
633 fr 2952
634 fr 2959
635 fr 2966
636 fr 2970
637 fr 2979
638 fr 2981
639 fr 2984
640 fr 2993
641 fr 2995
642 fr 2996
643 fr 2997
644 fr 3001
645 fr 3002
646 fr 3004
647 fr 3011
648 fr 3016
649 fr 3019
650 fr 3021
651 fr 3024
652 fr 3025
653 fr 3029
654 fr 3037
655 fr 3039
656 fr 3067
657 fr 3078
658 fr 3083
659 fr 3093
660 fr 3108
661 fr 3109
662 fr 3125
663 fr 3128
664 fr 3133
665 fr 3143
666 fr 3155
667 fr 3175
668 fr 3183
669 fr 3190
670 fr 3204
671 fr 3235
672 fr 3240
673 fr 3255
674 fr 3257
675 fr 3276
676 fr 3280
677 fr 3282
678 fr 3298
679 fr 3310
680 fr 3314
681 fr 3322
682 fr 3323
683 fr 3327
684 fr 3329
685 fr 3331
686 fr 3332
687 fr 3338
688 fr 3344
689 fr 3347
690 fr 3349
691 fr 3356
692 fr 3359
693 fr 3360
694 fr 3366
695 fr 3367
696 fr 3368
697 fr 3370
698 fr 3372
699 fr 3374
700 fr 3377
701 fr 3403
702 fr 3447
703 fr 3454
704 fr 3460
705 fr 3493
706 fr 3495
707 fr 3497
708 fr 3502
709 fr 3503
710 fr 3506
711 fr 3508
712 fr 3515
713 fr 3524
714 fr 3543
715 fr 3549
716 fr 3555
717 fr 3556
718 fr 3563
719 fr 3568
720 fr 3569
721 fr 3571
722 fr 3583
723 fr 3586
724 fr 3591
725 fr 3592
726 fr 3595
727 fr 3597
728 fr 3601
729 fr 3602
730 fr 3603
731 fr 3614
732 fr 3618
733 fr 3626
734 fr 3636
735 fr 3642
736 fr 3659
737 fr 3671
738 fr 3675
739 fr 3680
740 fr 3690
741 fr 3702
742 fr 3708
743 fr 3721
744 fr 3740
745 fr 3741
746 fr 3742
747 fr 3749
748 fr 3750
749 fr 3751
750 fr 3752
751 fr 3753
752 fr 3754
753 fr 3761
754 fr 3769
755 fr 3772
756 fr 3779
757 fr 3780
758 fr 3789
759 fr 3794
760 fr 3798
761 fr 3799
762 fr 3800
763 fr 3802
764 fr 3811
765 fr 3818
766 fr 3825
767 fr 3828
768 fr 3838
769 fr 3842
770 fr 3843
771 fr 3849
772 fr 3852
773 fr 3863
774 fr 3874
775 fr 3875
776 fr 3876
777 fr 3881
778 fr 3886
779 fr 3893
780 fr 3899
781 fr 3907
782 fr 3908
783 fr 3913
784 fr 3914
785 fr 3918
786 fr 3919
787 fr 3920
788 fr 3930
789 fr 3936
790 fr 3941
791 fr 3942
792 fr 3945
793 fr 3948
794 fr 3949
795 fr 3954
796 fr 3955
797 fr 3958
798 fr 3962
799 fr 3969
800 fr 3993
801 fr 3994
802 fr 4003
803 fr 4006
804 fr 4009
805 fr 4012
806 fr 4029
807 fr 4040
808 fr 4042
809 fr 4044
810 fr 4061
811 fr 4064
812 fr 4074
813 fr 4075
814 fr 4086
815 fr 4094
816 fr 4095
817 fr 4097
818 fr 4098
819 fr 4100
820 fr 4101
821 fr 4102
822 fr 4103
823 fr 4120
824 fr 4126
825 fr 4127
826 fr 4128
827 fr 4131
828 fr 4136
829 fr 4149
830 fr 4152
831 fr 4190
832 fr 4191
833 fr 4194
834 fr 4201
835 fr 4208
836 fr 4209
837 fr 4219
838 fr 4222
839 fr 4224
840 fr 4230
841 fr 4245
842 fr 4258
843 fr 4261
844 fr 4265
845 fr 4267
846 fr 4270
847 fr 4280
848 fr 4281
849 fr 4284
850 fr 4287
851 fr 4290
852 fr 4293
853 fr 4299
854 fr 4304
855 fr 4313
856 fr 4318
857 fr 4319
858 fr 4321
859 fr 4326
860 fr 4328
861 fr 4340
862 fr 4345
863 fr 4352
864 fr 4358
865 fr 4359
866 fr 4360
867 fr 4365
868 fr 4368
869 fr 4373
870 fr 4374
871 fr 4382
872 fr 4387
873 fr 4388
874 fr 4392
875 fr 4405
876 fr 4424
877 fr 4433
878 fr 4436
879 fr 4441
880 fr 4445
881 fr 4446
882 fr 4452
883 fr 4456
884 fr 4459
885 fr 4466
886 fr 4467
887 fr 4470
888 fr 4471
889 fr 4474
890 fr 4476
891 fr 4484
892 fr 4489
893 fr 4491
894 fr 4493
895 fr 4494
896 fr 4495
897 fr 4496
898 fr 4497
899 fr 4498
900 fr 4499
901 fr 4513
902 fr 4515
903 fr 4520
904 fr 4528
905 fr 4532
906 fr 4537
907 fr 4538
908 fr 4549
909 fr 4559
910 fr 4568
911 fr 4575
912 fr 4582
913 fr 4586
914 fr 4595
915 fr 4597
916 fr 4614
917 fr 4624
918 fr 4625
919 fr 4627
920 fr 4630
921 fr 4637
922 fr 4652
923 fr 4661
924 fr 4665
925 fr 4670
926 fr 4671
927 fr 4686
928 fr 4698
929 fr 4700
930 fr 4705
931 fr 4708
932 fr 4711
933 fr 4713
934 fr 4716
935 fr 4720
936 fr 4721
937 fr 4723
938 fr 4736
939 fr 4760
940 fr 4761
941 fr 4762
942 fr 4764
943 fr 4767
944 fr 4768
945 fr 4777
946 fr 4782
947 fr 4792
948 fr 4817
949 fr 4822
950 fr 4834
951 fr 4843
952 fr 4847
953 fr 4865
954 fr 4874
955 fr 4904
956 fr 4909
957 fr 4915
958 fr 4928
959 fr 4930
960 fr 4946
961 fr 4947
962 fr 4949
963 fr 4950
964 fr 4954
965 fr 4955
966 fr 4956
967 fr 4957
968 fr 4960
969 fr 4961
970 fr 4962
971 fr 4965
972 fr 4969
973 fr 4972
974 fr 4982
975 fr 4985
976 fr 4995
